"month","year","Average_Temperature","state","Precipitation"
"07","1952","64.5","WA","0.38"
"08","1952","63.5","WA","0.72"
"09","1952","59.7","WA","0.59"
"10","1952","51.6","WA","0.87"
"11","1952","33.2","WA","1.44"
"12","1952","32.3","WA","6.56"
"01","1953","37.2","WA","14.09"
"02","1953","36.0","WA","3.81"
"03","1953","39.1","WA","3.58"
"04","1953","43.7","WA","2.89"
"05","1953","50.2","WA","2.96"
"06","1953","53.8","WA","2.32"
"07","1953","63.4","WA","0.40"
"08","1953","63.2","WA","1.69"
"09","1953","58.2","WA","1.77"
"10","1953","49.1","WA","3.16"
"11","1953","39.9","WA","6.11"
"12","1953","34.9","WA","8.06"
"01","1954","26.9","WA","9.61"
"02","1954","34.9","WA","5.72"
"03","1954","35.4","WA","2.66"
"04","1954","42.2","WA","2.95"
"05","1954","52.1","WA","1.54"
"06","1954","53.9","WA","2.70"
"07","1954","61.2","WA","1.27"
"08","1954","60.0","WA","2.03"
"09","1954","56.1","WA","1.95"
"10","1954","45.3","WA","2.67"
"11","1954","41.8","WA","6.88"
"12","1954","31.4","WA","5.24"
"01","1955","29.4","WA","3.12"
"02","1955","30.5","WA","4.19"
"03","1955","32.0","WA","4.52"
"04","1955","39.8","WA","4.44"
"05","1955","47.7","WA","1.87"
"06","1955","57.7","WA","1.50"
"07","1955","60.9","WA","2.32"
"08","1955","62.3","WA","0.10"
"09","1955","56.5","WA","1.80"
"10","1955","46.5","WA","6.99"
"11","1955","29.6","WA","8.99"
"12","1955","27.4","WA","9.08"
"01","1956","29.0","WA","8.23"
"02","1956","25.0","WA","4.20"
"03","1956","35.3","WA","6.14"
"04","1956","47.0","WA","0.69"
"05","1956","54.9","WA","1.29"
"06","1956","55.3","WA","3.01"
"07","1956","65.6","WA","0.59"
"08","1956","63.4","WA","1.51"
"09","1956","57.0","WA","2.17"
"10","1956","45.3","WA","6.27"
"11","1956","33.9","WA","2.32"
"12","1956","31.8","WA","6.57"
"01","1957","18.4","WA","3.17"
"02","1957","30.2","WA","5.30"
"03","1957","38.0","WA","6.20"
"04","1957","46.1","WA","2.45"
"05","1957","55.7","WA","2.69"
"06","1957","58.7","WA","1.93"
"07","1957","61.6","WA","0.91"
"08","1957","60.5","WA","1.08"
"09","1957","60.4","WA","0.90"
"10","1957","45.7","WA","3.93"
"11","1957","36.1","WA","3.22"
"12","1957","35.0","WA","7.43"
"01","1958","33.9","WA","7.19"
"02","1958","40.5","WA","6.15"
"03","1958","38.2","WA","2.80"
"04","1958","44.3","WA","4.70"
"05","1958","58.2","WA","1.12"
"06","1958","62.6","WA","1.99"
"07","1958","68.6","WA","0.52"
"08","1958","67.4","WA","0.45"
"09","1958","56.5","WA","1.88"
"10","1958","48.5","WA","3.76"
"11","1958","35.2","WA","9.12"
"12","1958","34.1","WA","6.69"
"01","1959","30.2","WA","8.61"
"02","1959","32.1","WA","3.70"
"03","1959","38.4","WA","4.67"
"04","1959","45.5","WA","3.38"
"05","1959","49.2","WA","2.44"
"06","1959","57.7","WA","1.90"
"07","1959","65.2","WA","0.51"
"08","1959","60.9","WA","0.99"
"09","1959","54.5","WA","5.00"
"10","1959","46.7","WA","4.23"
"11","1959","34.1","WA","6.36"
"12","1959","31.5","WA","4.98"
"01","1960","25.2","WA","4.36"
"02","1960","33.4","WA","5.12"
"03","1960","37.8","WA","4.82"
"04","1960","44.8","WA","3.94"
"05","1960","49.2","WA","4.20"
"06","1960","57.9","WA","0.96"
"07","1960","67.5","WA","0.03"
"08","1960","61.1","WA","1.97"
"09","1960","56.9","WA","1.17"
"10","1960","48.3","WA","3.89"
"11","1960","36.3","WA","8.33"
"12","1960","29.4","WA","3.59"
"01","1961","32.7","WA","6.72"
"02","1961","37.9","WA","10.06"
"03","1961","39.5","WA","5.92"
"04","1961","44.0","WA","3.14"
"05","1961","51.3","WA","3.02"
"06","1961","62.2","WA","1.12"
"07","1961","66.5","WA","0.75"
"08","1961","68.1","WA","1.04"
"09","1961","54.3","WA","1.31"
"10","1961","44.9","WA","3.94"
"11","1961","32.3","WA","4.75"
"12","1961","30.0","WA","6.98"
"01","1962","27.6","WA","3.39"
"02","1962","34.4","WA","2.62"
"03","1962","35.9","WA","4.15"
"04","1962","47.1","WA","3.52"
"05","1962","48.3","WA","2.95"
"06","1962","56.9","WA","1.22"
"07","1962","62.8","WA","0.47"
"08","1962","61.5","WA","2.05"
"09","1962","58.0","WA","2.28"
"10","1962","47.5","WA","4.05"
"11","1962","39.2","WA","8.59"
"12","1962","34.6","WA","4.94"
"01","1963","24.8","WA","1.94"
"02","1963","38.2","WA","5.14"
"03","1963","39.3","WA","3.86"
"04","1963","43.3","WA","3.92"
"05","1963","52.1","WA","1.78"
"06","1963","57.5","WA","1.58"
"07","1963","61.2","WA","1.52"
"08","1963","63.9","WA","1.12"
"09","1963","61.6","WA","1.45"
"10","1963","49.4","WA","4.28"
"11","1963","38.0","WA","7.56"
"12","1963","30.6","WA","5.19"
"01","1964","32.1","WA","9.57"
"02","1964","33.6","WA","2.09"
"03","1964","36.5","WA","4.58"
"04","1964","42.4","WA","2.43"
"05","1964","49.6","WA","1.40"
"06","1964","56.4","WA","2.75"
"07","1964","62.9","WA","1.29"
"08","1964","59.9","WA","1.78"
"09","1964","54.4","WA","2.14"
"10","1964","47.5","WA","1.94"
"11","1964","35.0","WA","6.55"
"12","1964","26.8","WA","8.59"
"01","1965","30.6","WA","7.91"
"02","1965","34.8","WA","4.64"
"03","1965","37.0","WA","0.86"
"04","1965","46.2","WA","3.19"
"05","1965","49.7","WA","1.94"
"06","1965","57.6","WA","0.86"
"07","1965","65.0","WA","0.77"
"08","1965","64.2","WA","2.03"
"09","1965","54.1","WA","0.74"
"10","1965","50.2","WA","2.35"
"11","1965","40.1","WA","5.53"
"12","1965","31.3","WA","5.71"
"01","1966","30.3","WA","6.77"
"02","1966","34.4","WA","2.87"
"03","1966","38.4","WA","5.19"
"04","1966","45.4","WA","1.41"
"05","1966","52.6","WA","1.38"
"06","1966","55.8","WA","1.89"
"07","1966","61.9","WA","1.67"
"08","1966","63.3","WA","0.55"
"09","1966","60.0","WA","1.54"
"10","1966","46.6","WA","3.63"
"11","1966","39.0","WA","6.25"
"12","1966","35.4","WA","8.51"
"01","1967","35.0","WA","9.20"
"02","1967","37.3","WA","3.75"
"03","1967","37.0","WA","4.80"
"04","1967","41.0","WA","2.98"
"05","1967","51.0","WA","1.34"
"06","1967","60.8","WA","1.57"
"07","1967","65.0","WA","0.20"
"08","1967","68.5","WA","0.07"
"09","1967","62.3","WA","1.21"
"10","1967","47.8","WA","7.94"
"11","1967","38.0","WA","3.33"
"12","1967","30.4","WA","6.44"
"01","1968","30.8","WA","7.08"
"02","1968","37.9","WA","6.00"
"03","1968","41.6","WA","4.43"
"04","1968","42.7","WA","2.23"
"05","1968","51.7","WA","1.96"
"06","1968","57.4","WA","2.47"
"07","1968","65.8","WA","0.67"
"08","1968","61.0","WA","3.23"
"09","1968","57.1","WA","2.44"
"10","1968","45.0","WA","5.00"
"11","1968","37.5","WA","6.33"
"12","1968","27.6","WA","8.12"
"01","1969","19.7","WA","7.57"
"02","1969","29.8","WA","3.51"
"03","1969","38.1","WA","2.43"
"04","1969","44.6","WA","3.74"
"05","1969","54.6","WA","2.14"
"06","1969","62.3","WA","1.58"
"07","1969","62.5","WA","0.49"
"08","1969","61.3","WA","0.39"
"09","1969","57.4","WA","3.88"
"10","1969","44.9","WA","2.28"
"11","1969","38.1","WA","2.74"
"12","1969","32.7","WA","6.49"
"01","1970","29.1","WA","9.19"
"02","1970","37.1","WA","3.24"
"03","1970","38.4","WA","2.84"
"04","1970","41.2","WA","4.03"
"05","1970","51.4","WA","1.18"
"06","1970","61.5","WA","0.96"
"07","1970","65.2","WA","0.70"
"08","1970","64.1","WA","0.26"
"09","1970","53.2","WA","2.45"
"10","1970","45.1","WA","3.37"
"11","1970","36.4","WA","5.81"
"12","1970","28.9","WA","8.21"
"01","1971","31.0","WA","9.10"
"02","1971","34.4","WA","4.18"
"03","1971","34.3","WA","7.10"
"04","1971","43.3","WA","2.32"
"05","1971","52.8","WA","2.04"
"06","1971","54.1","WA","2.57"
"07","1971","64.6","WA","0.80"
"08","1971","67.3","WA","0.74"
"09","1971","53.4","WA","2.97"
"10","1971","44.8","WA","3.33"
"11","1971","36.9","WA","5.75"
"12","1971","27.7","WA","7.97"
"01","1972","26.6","WA","7.72"
"02","1972","32.2","WA","7.30"
"03","1972","40.0","WA","6.58"
"04","1972","40.9","WA","4.08"
"05","1972","53.6","WA","2.03"
"06","1972","57.7","WA","2.20"
"07","1972","63.2","WA","1.54"
"08","1972","65.4","WA","1.24"
"09","1972","53.0","WA","3.39"
"10","1972","45.7","WA","0.94"
"11","1972","38.0","WA","4.12"
"12","1972","26.9","WA","8.81"
"01","1973","28.1","WA","4.88"
"02","1973","34.9","WA","1.88"
"03","1973","39.9","WA","2.70"
"04","1973","45.1","WA","1.35"
"05","1973","52.9","WA","2.08"
"06","1973","57.4","WA","1.83"
"07","1973","64.7","WA","0.17"
"08","1973","62.4","WA","0.37"
"09","1973","57.6","WA","2.45"
"10","1973","46.3","WA","4.09"
"11","1973","34.0","WA","9.91"
"12","1973","35.0","WA","9.71"
"01","1974","27.1","WA","9.92"
"02","1974","35.8","WA","5.59"
"03","1974","38.2","WA","6.13"
"04","1974","44.6","WA","3.68"
"05","1974","48.3","WA","2.70"
"06","1974","59.7","WA","1.40"
"07","1974","62.4","WA","1.98"
"08","1974","64.3","WA","0.24"
"09","1974","59.8","WA","0.51"
"10","1974","47.8","WA","1.00"
"11","1974","38.6","WA","6.21"
"12","1974","34.2","WA","7.94"
"01","1975","29.0","WA","7.98"
"02","1975","30.1","WA","5.49"
"03","1975","35.6","WA","4.07"
"04","1975","40.9","WA","2.27"
"05","1975","50.7","WA","2.11"
"06","1975","56.0","WA","1.46"
"07","1975","66.4","WA","0.84"
"08","1975","60.4","WA","3.17"
"09","1975","58.6","WA","0.10"
"10","1975","46.2","WA","7.33"
"11","1975","35.8","WA","7.01"
"12","1975","32.8","WA","9.10"
"01","1976","32.2","WA","6.71"
"02","1976","33.6","WA","5.54"
"03","1976","35.3","WA","4.11"
"04","1976","43.8","WA","2.50"
"05","1976","51.3","WA","2.01"
"06","1976","54.5","WA","1.39"
"07","1976","62.7","WA","1.03"
"08","1976","60.7","WA","2.94"
"09","1976","59.7","WA","0.81"
"10","1976","47.1","WA","1.78"
"11","1976","37.9","WA","1.61"
"12","1976","32.3","WA","2.75"
"01","1977","26.1","WA","1.96"
"02","1977","37.3","WA","2.93"
"03","1977","37.9","WA","4.98"
"04","1977","48.0","WA","1.19"
"05","1977","48.7","WA","3.31"
"06","1977","60.6","WA","1.12"
"07","1977","62.3","WA","0.67"
"08","1977","67.4","WA","2.70"
"09","1977","54.2","WA","3.16"
"10","1977","46.1","WA","2.60"
"11","1977","34.7","WA","7.33"
"12","1977","31.3","WA","9.61"
"01","1978","31.5","WA","4.89"
"02","1978","36.0","WA","3.66"
"03","1978","41.3","WA","2.98"
"04","1978","44.8","WA","3.76"
"05","1978","49.8","WA","2.78"
"06","1978","60.1","WA","1.28"
"07","1978","64.6","WA","1.49"
"08","1978","62.6","WA","2.42"
"09","1978","55.1","WA","3.88"
"10","1978","47.6","WA","0.85"
"11","1978","31.8","WA","4.40"
"12","1978","25.8","WA","3.60"
"01","1979","18.8","WA","2.23"
"02","1979","31.3","WA","7.22"
"03","1979","40.7","WA","2.56"
"04","1979","44.5","WA","2.64"
"05","1979","53.1","WA","1.68"
"06","1979","58.8","WA","0.94"
"07","1979","65.4","WA","1.11"
"08","1979","64.6","WA","1.34"
"09","1979","60.0","WA","2.03"
"10","1979","49.9","WA","4.39"
"11","1979","33.9","WA","2.69"
"12","1979","35.4","WA","9.38"
"01","1980","23.8","WA","5.34"
"02","1980","33.9","WA","5.83"
"03","1980","37.9","WA","3.77"
"04","1980","47.9","WA","3.14"
"05","1980","52.0","WA","2.61"
"06","1980","55.1","WA","2.35"
"07","1980","63.5","WA","0.74"
"08","1980","60.5","WA","1.11"
"09","1980","57.1","WA","2.51"
"10","1980","48.0","WA","1.31"
"11","1980","38.4","WA","7.54"
"12","1980","34.6","WA","8.49"
"01","1981","36.2","WA","2.17"
"02","1981","35.7","WA","6.05"
"03","1981","42.0","WA","2.85"
"04","1981","44.5","WA","4.09"
"05","1981","51.1","WA","2.89"
"06","1981","54.6","WA","3.59"
"07","1981","62.2","WA","1.11"
"08","1981","67.2","WA","0.40"
"09","1981","57.7","WA","2.69"
"10","1981","45.4","WA","4.98"
"11","1981","39.4","WA","4.98"
"12","1981","31.5","WA","8.00"
"01","1982","28.4","WA","7.57"
"02","1982","32.9","WA","7.19"
"03","1982","38.5","WA","4.01"
"04","1982","41.4","WA","3.69"
"05","1982","50.7","WA","1.05"
"06","1982","60.9","WA","1.57"
"07","1982","62.5","WA","1.58"
"08","1982","63.6","WA","1.06"
"09","1982","57.2","WA","2.49"
"10","1982","46.3","WA","4.61"
"11","1982","33.5","WA","4.98"
"12","1982","30.4","WA","7.59"
"01","1983","35.6","WA","7.71"
"02","1983","37.9","WA","6.39"
"03","1983","42.3","WA","6.38"
"04","1983","45.0","WA","2.23"
"05","1983","54.0","WA","1.76"
"06","1983","56.8","WA","2.58"
"07","1983","60.8","WA","3.09"
"08","1983","65.0","WA","1.51"
"09","1983","54.1","WA","2.15"
"10","1983","46.5","WA","1.84"
"11","1983","39.6","WA","11.21"
"12","1983","22.7","WA","4.99"
"01","1984","31.9","WA","5.70"
"02","1984","35.8","WA","4.37"
"03","1984","41.7","WA","4.81"
"04","1984","43.2","WA","3.52"
"05","1984","48.2","WA","4.31"
"06","1984","55.7","WA","3.20"
"07","1984","64.2","WA","0.20"
"08","1984","64.1","WA","0.65"
"09","1984","54.7","WA","2.09"
"10","1984","43.8","WA","4.08"
"11","1984","36.1","WA","9.01"
"12","1984","24.5","WA","5.03"
"01","1985","26.3","WA","0.73"
"02","1985","28.6","WA","3.44"
"03","1985","36.8","WA","3.35"
"04","1985","45.9","WA","2.51"
"05","1985","53.0","WA","1.58"
"06","1985","58.3","WA","2.04"
"07","1985","69.0","WA","0.20"
"08","1985","62.3","WA","0.84"
"09","1985","53.1","WA","2.76"
"10","1985","45.1","WA","6.17"
"11","1985","24.9","WA","4.59"
"12","1985","23.9","WA","1.78"
"01","1986","33.2","WA","7.38"
"02","1986","33.4","WA","5.97"
"03","1986","43.0","WA","3.54"
"04","1986","43.6","WA","2.66"
"05","1986","52.3","WA","2.68"
"06","1986","61.8","WA","0.91"
"07","1986","60.4","WA","1.26"
"08","1986","68.0","WA","0.21"
"09","1986","54.1","WA","3.09"
"10","1986","49.5","WA","2.45"
"11","1986","37.4","WA","7.66"
"12","1986","31.0","WA","3.82"
"01","1987","29.8","WA","5.57"
"02","1987","36.9","WA","3.15"
"03","1987","41.3","WA","5.39"
"04","1987","48.9","WA","2.46"
"05","1987","54.3","WA","2.73"
"06","1987","60.7","WA","0.89"
"07","1987","63.0","WA","1.47"
"08","1987","63.8","WA","0.54"
"09","1987","60.6","WA","0.51"
"10","1987","49.9","WA","0.25"
"11","1987","40.2","WA","3.37"
"12","1987","29.6","WA","8.06"
"01","1988","29.1","WA","4.32"
"02","1988","36.2","WA","2.43"
"03","1988","39.6","WA","5.52"
"04","1988","46.9","WA","4.11"
"05","1988","51.6","WA","3.08"
"06","1988","57.3","WA","1.86"
"07","1988","64.0","WA","0.78"
"08","1988","63.8","WA","0.36"
"09","1988","57.3","WA","2.17"
"10","1988","52.3","WA","2.38"
"11","1988","38.1","WA","8.75"
"12","1988","31.2","WA","4.19"
"01","1989","31.9","WA","5.32"
"02","1989","25.6","WA","2.99"
"03","1989","37.1","WA","5.86"
"04","1989","48.1","WA","2.89"
"05","1989","51.4","WA","2.74"
"06","1989","60.4","WA","1.02"
"07","1989","63.1","WA","0.82"
"08","1989","62.1","WA","1.60"
"09","1989","59.0","WA","0.35"
"10","1989","47.0","WA","3.13"
"11","1989","39.6","WA","6.21"
"12","1989","33.7","WA","3.63"
"01","1990","34.5","WA","9.18"
"02","1990","31.8","WA","5.92"
"03","1990","41.1","WA","2.81"
"04","1990","48.6","WA","2.89"
"05","1990","50.6","WA","3.30"
"06","1990","57.5","WA","2.82"
"07","1990","67.1","WA","0.89"
"08","1990","65.7","WA","1.88"
"09","1990","62.2","WA","0.21"
"10","1990","44.6","WA","6.15"
"11","1990","39.3","WA","9.46"
"12","1990","24.2","WA","5.42"
"01","1991","28.5","WA","4.67"
"02","1991","40.4","WA","5.15"
"03","1991","37.4","WA","4.24"
"04","1991","44.8","WA","4.60"
"05","1991","50.1","WA","2.85"
"06","1991","54.7","WA","2.48"
"07","1991","64.7","WA","0.68"
"08","1991","65.8","WA","1.86"
"09","1991","60.4","WA","0.23"
"10","1991","47.0","WA","1.65"
"11","1991","37.3","WA","7.60"
"12","1991","34.5","WA","4.47"
"01","1992","34.6","WA","6.99"
"02","1992","39.6","WA","3.76"
"03","1992","45.1","WA","1.09"
"04","1992","47.6","WA","4.24"
"05","1992","56.0","WA","0.61"
"06","1992","63.4","WA","2.09"
"07","1992","64.3","WA","1.76"
"08","1992","65.2","WA","0.80"
"09","1992","55.4","WA","2.15"
"10","1992","48.6","WA","2.45"
"11","1992","36.6","WA","6.07"
"12","1992","27.3","WA","5.12"
"01","1993","24.4","WA","4.09"
"02","1993","29.8","WA","0.84"
"03","1993","39.1","WA","4.05"
"04","1993","44.6","WA","5.15"
"05","1993","57.0","WA","3.04"
"06","1993","57.1","WA","2.80"
"07","1993","58.8","WA","2.59"
"08","1993","62.5","WA","0.86"
"09","1993","58.4","WA","0.34"
"10","1993","50.1","WA","1.71"
"11","1993","32.6","WA","2.35"
"12","1993","32.5","WA","5.86"
"01","1994","36.7","WA","4.15"
"02","1994","31.7","WA","5.28"
"03","1994","42.2","WA","3.28"
"04","1994","48.2","WA","2.88"
"05","1994","54.1","WA","2.06"
"06","1994","57.3","WA","2.12"
"07","1994","67.3","WA","0.53"
"08","1994","64.9","WA","0.42"
"09","1994","61.2","WA","1.37"
"10","1994","46.5","WA","5.49"
"11","1994","33.2","WA","7.19"
"12","1994","31.5","WA","7.74"
"01","1995","32.6","WA","6.40"
"02","1995","37.8","WA","4.77"
"03","1995","39.6","WA","5.16"
"04","1995","44.7","WA","3.05"
"05","1995","54.6","WA","1.53"
"06","1995","58.1","WA","2.15"
"07","1995","64.7","WA","1.30"
"08","1995","60.2","WA","1.63"
"09","1995","60.8","WA","1.93"
"10","1995","45.4","WA","4.99"
"11","1995","40.2","WA","11.13"
"12","1995","31.8","WA","7.05"
"01","1996","29.0","WA","6.90"
"02","1996","32.0","WA","7.71"
"03","1996","39.2","WA","2.22"
"04","1996","46.0","WA","5.58"
"05","1996","48.2","WA","3.50"
"06","1996","57.2","WA","1.15"
"07","1996","66.6","WA","0.72"
"08","1996","64.8","WA","0.63"
"09","1996","55.0","WA","2.12"
"10","1996","45.9","WA","5.84"
"11","1996","35.3","WA","6.95"
"12","1996","28.1","WA","11.63"
"01","1997","30.4","WA","7.47"
"02","1997","34.0","WA","3.71"
"03","1997","38.7","WA","8.24"
"04","1997","43.6","WA","3.98"
"05","1997","54.5","WA","2.75"
"06","1997","56.9","WA","2.90"
"07","1997","63.2","WA","1.68"
"08","1997","66.5","WA","1.09"
"09","1997","59.2","WA","3.88"
"10","1997","46.3","WA","6.77"
"11","1997","39.6","WA","4.34"
"12","1997","32.4","WA","4.26"
"01","1998","32.0","WA","8.21"
"02","1998","37.7","WA","4.64"
"03","1998","41.0","WA","4.05"
"04","1998","46.0","WA","1.64"
"05","1998","52.9","WA","3.66"
"06","1998","58.8","WA","1.61"
"07","1998","69.0","WA","1.07"
"08","1998","66.8","WA","0.21"
"09","1998","62.2","WA","0.66"
"10","1998","47.0","WA","2.76"
"11","1998","39.6","WA","10.04"
"12","1998","30.2","WA","10.06"
"01","1999","34.3","WA","7.53"
"02","1999","35.0","WA","9.93"
"03","1999","38.6","WA","4.51"
"04","1999","43.7","WA","1.46"
"05","1999","48.5","WA","2.50"
"06","1999","56.0","WA","1.86"
"07","1999","62.0","WA","0.98"
"08","1999","65.6","WA","1.31"
"09","1999","57.1","WA","0.36"
"10","1999","46.7","WA","3.49"
"11","1999","41.1","WA","8.24"
"12","1999","34.7","WA","7.13"
"01","2000","30.4","WA","6.09"
"02","2000","35.2","WA","4.28"
"03","2000","39.1","WA","3.94"
"04","2000","47.8","WA","2.29"
"05","2000","51.1","WA","3.06"
"06","2000","58.5","WA","2.14"
"07","2000","63.5","WA","0.68"
"08","2000","63.4","WA","0.40"
"09","2000","56.3","WA","1.97"
"10","2000","46.8","WA","2.93"
"11","2000","32.6","WA","3.02"
"12","2000","29.4","WA","3.41"
"01","2001","31.8","WA","2.98"
"02","2001","32.1","WA","2.08"
"03","2001","40.0","WA","3.56"
"04","2001","43.5","WA","3.26"
"05","2001","53.1","WA","1.92"
"06","2001","55.6","WA","2.48"
"07","2001","63.4","WA","0.73"
"08","2001","66.0","WA","1.43"
"09","2001","59.8","WA","0.79"
"10","2001","45.7","WA","4.60"
"11","2001","39.7","WA","7.67"
"12","2001","31.8","WA","7.66"
"01","2002","32.9","WA","7.33"
"02","2002","34.3","WA","4.23"
"03","2002","35.6","WA","4.46"
"04","2002","44.7","WA","3.23"
"05","2002","49.7","WA","2.00"
"06","2002","59.5","WA","1.81"
"07","2002","66.1","WA","0.55"
"08","2002","63.6","WA","0.31"
"09","2002","57.5","WA","0.79"
"10","2002","45.5","WA","0.64"
"11","2002","39.2","WA","3.80"
"12","2002","34.6","WA","7.36"
"01","2003","36.1","WA","8.26"
"02","2003","35.4","WA","2.49"
"03","2003","41.0","WA","7.09"
"04","2003","44.6","WA","3.84"
"05","2003","51.3","WA","1.48"
"06","2003","60.8","WA","0.52"
"07","2003","67.5","WA","0.14"
"08","2003","65.9","WA","0.29"
"09","2003","60.0","WA","1.23"
"10","2003","50.6","WA","6.32"
"11","2003","33.3","WA","6.31"
"12","2003","31.6","WA","5.51"
"01","2004","29.8","WA","6.20"
"02","2004","35.1","WA","3.20"
"03","2004","42.9","WA","3.23"
"04","2004","48.6","WA","1.35"
"05","2004","52.4","WA","3.06"
"06","2004","60.4","WA","1.63"
"07","2004","67.3","WA","0.40"
"08","2004","67.0","WA","3.21"
"09","2004","56.1","WA","2.81"
"10","2004","48.5","WA","3.81"
"11","2004","38.1","WA","3.79"
"12","2004","34.5","WA","4.96"
"01","2005","31.5","WA","4.58"
"02","2005","35.8","WA","1.11"
"03","2005","42.7","WA","4.39"
"04","2005","46.3","WA","3.37"
"05","2005","54.7","WA","3.64"
"06","2005","57.0","WA","2.03"
"07","2005","65.0","WA","1.09"
"08","2005","65.8","WA","0.49"
"09","2005","55.7","WA","1.59"
"10","2005","48.4","WA","4.15"
"11","2005","35.7","WA","5.48"
"12","2005","29.4","WA","6.72"
"01","2006","35.9","WA","11.78"
"02","2006","32.8","WA","3.57"
"03","2006","38.8","WA","3.48"
"04","2006","45.7","WA","2.93"
"05","2006","53.0","WA","2.37"
"06","2006","59.8","WA","2.23"
"07","2006","67.5","WA","0.38"
"08","2006","64.2","WA","0.18"
"09","2006","58.8","WA","1.17"
"10","2006","47.0","WA","1.81"
"11","2006","36.1","WA","13.51"
"12","2006","30.5","WA","6.85"
"01","2007","28.6","WA","5.11"
"02","2007","35.6","WA","4.61"
"03","2007","41.5","WA","5.26"
"04","2007","44.9","WA","2.13"
"05","2007","52.9","WA","1.42"
"06","2007","57.5","WA","1.68"
"07","2007","68.1","WA","1.06"
"08","2007","63.3","WA","0.70"
"09","2007","56.7","WA","1.43"
"10","2007","45.6","WA","4.06"
"11","2007","36.4","WA","3.97"
"12","2007","30.4","WA","8.81"
"01","2008","27.4","WA","5.79"
"02","2008","35.4","WA","3.65"
"03","2008","37.0","WA","4.03"
"04","2008","40.8","WA","2.29"
"05","2008","53.1","WA","1.58"
"06","2008","56.2","WA","1.88"
"07","2008","64.4","WA","0.48"
"08","2008","64.0","WA","2.13"
"09","2008","57.8","WA","0.65"
"10","2008","46.6","WA","2.36"
"11","2008","40.2","WA","6.84"
"12","2008","26.2","WA","5.71"
"01","2009","30.1","WA","6.23"
"02","2009","33.1","WA","1.98"
"03","2009","35.3","WA","4.89"
"04","2009","44.1","WA","2.66"
"05","2009","52.3","WA","3.12"
"06","2009","59.9","WA","0.96"
"07","2009","67.5","WA","0.66"
"08","2009","65.4","WA","0.86"
"09","2009","59.9","WA","1.65"
"10","2009","44.2","WA","5.57"
"11","2009","38.0","WA","7.93"
"12","2009","26.6","WA","3.39"
"01","2010","36.3","WA","6.24"
"02","2010","38.5","WA","3.38"
"03","2010","40.9","WA","3.72"
"04","2010","44.6","WA","4.04"
"05","2010","48.7","WA","4.28"
"06","2010","55.9","WA","3.28"
"07","2010","64.2","WA","0.41"
"08","2010","63.5","WA","0.74"
"09","2010","57.1","WA","3.46"
"10","2010","48.6","WA","4.29"
"11","2010","34.8","WA","5.78"
"12","2010","31.9","WA","7.71"
"01","2011","32.1","WA","6.53"
"02","2011","31.1","WA","4.09"
"03","2011","38.4","WA","7.81"
"04","2011","40.2","WA","4.67"
"05","2011","48.6","WA","4.09"
"06","2011","55.5","WA","1.44"
"07","2011","61.0","WA","1.06"
"08","2011","64.9","WA","0.20"
"09","2011","61.0","WA","1.29"
"10","2011","47.2","WA","3.34"
"11","2011","35.3","WA","6.10"
"12","2011","31.0","WA","3.20"
"01","2012","30.7","WA","6.35"
"02","2012","34.5","WA","4.76"
"03","2012","37.6","WA","7.87"
"04","2012","46.0","WA","3.93"
"05","2012","50.9","WA","2.31"
"06","2012","55.0","WA","3.93"
"07","2012","65.2","WA","1.43"
"08","2012","66.2","WA","0.10"
"09","2012","59.7","WA","0.16"
"10","2012","47.4","WA","6.47"
"11","2012","39.0","WA","7.31"
"12","2012","32.5","WA","8.25"
"01","2013","29.1","WA","3.97"
"02","2013","35.5","WA","2.76"
"03","2013","40.2","WA","3.75"
"04","2013","44.7","WA","4.23"
"05","2013","53.5","WA","3.01"
"06","2013","58.7","WA","2.26"
"07","2013","67.2","WA","0.16"
"08","2013","66.2","WA","1.60"
"09","2013","59.7","WA","5.60"
"10","2013","46.1","WA","1.37"
"11","2013","36.7","WA","4.03"
"12","2013","28.2","WA","2.94"
"01","2014","34.1","WA","4.42"
"02","2014","29.8","WA","6.28"
"03","2014","40.1","WA","7.78"
"04","2014","45.8","WA","3.78"
"05","2014","54.3","WA","2.44"
"06","2014","58.3","WA","1.73"
"07","2014","68.6","WA","0.77"
"08","2014","67.3","WA","1.47"
"09","2014","59.8","WA","1.80"
"10","2014","51.9","WA","6.01"
"11","2014","36.3","WA","6.10"
"12","2014","34.2","WA","6.23"
"01","2015","35.1","WA","4.96"
"02","2015","40.7","WA","4.30"
"03","2015","44.8","WA","4.32"
"04","2015","45.7","WA","1.82"
"05","2015","56.0","WA","1.51"
"06","2015","65.5","WA","0.47"
"07","2015","68.6","WA","0.42"
"08","2015","66.6","WA","1.33"
"09","2015","56.2","WA","1.50"
"10","2015","52.4","WA","4.18"
"11","2015","36.0","WA","7.02"
"12","2015","32.1","WA","11.42"
"01","1895","31.1","VA","5.38"
"02","1895","25.4","VA","1.55"
"03","1895","42.6","VA","3.45"
"04","1895","53.2","VA","5.23"
"05","1895","61.4","VA","4.05"
"06","1895","72.6","VA","3.60"
"07","1895","72.2","VA","4.83"
"08","1895","74.5","VA","2.67"
"09","1895","71.4","VA","0.89"
"10","1895","51.0","VA","1.73"
"11","1895","46.0","VA","2.79"
"12","1895","37.5","VA","2.59"
"01","1896","33.4","VA","1.96"
"02","1896","36.8","VA","4.55"
